track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,80,0h2knr6qpiAq0tV5ri5JMF,The Days / Nights,2014-01-01,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,176658
0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Gorillaz,80,0bUTHlWbkSQysoM3VsWldT,Demon Days,2005-05-23,L' ALBUM ROCK,0jilq2XZP9F2fwzp2k6iXK,rock,album rock,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,222640
0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),benny blanco,84,7pkLXlFdpQDfmHujT2AbBK,Eastside (with Halsey & Khalid),2018-07-12,Electropop 2019,4Bi8VLtaSu0JILliif8lH6,pop,electropop,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,173800
0DiDStADDVh3SvAsoJAFMk,Only Human,Jonas Brothers,86,1Uf67JAtkVWfdydzFFqNF2,Happiness Begins,2019-06-07,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin pop,0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,183000
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),Post Malone,88,6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,2018-04-27,GTA San Andreas Radio Los Santos,6m0BqpJfSP2m5xCOFjDRHw,rap,gangster rap,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-5,0.131,0.129,159.801,218147
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,Dynoro,84,1c79SozES9Eb3Lzf9KVaIa,In My Mind,2018-06-08,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-5,0.118,0.163,125.905,184560
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,J Balvin,91,6ylFfzx32ICw4L1A7YWNLN,OASIS,2019-06-28,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-5,0.108,0.429,176.089,242573
0fySG6A6qLE8IvDpayb5bM,VIBEZ,DaBaby,88,1NsTSXjVNE7XmZ8PmyW0wl,KIRK,2019-09-27,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.768,0.652,1,-2.708,0,0.307,0.113,0,0.107,0.777,154.187,144935
0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE,Kodak Black,83,5n1GSzC1Reao29ScnpLYqp,Dying to Live,2018-12-14,Someone You Loved Lewis Capaldi (Pop Music Mix),6IErGHjBfhey8URq0mFnPi,pop,post-teen pop,0.861,0.603,8,-5.788,0,0.176,0.0521,0,0.0924,0.504,98.043,228760
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,80,6fpLLJsDSSAlToEDW2jv4F,Animal (Expanded Edition),2010-01-01,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,199693
0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),Ed Sheeran,84,3oIFxDIo2fwuk4lwCmFZCx,No.6 Collaborations Project,2019-07-12,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947
0i9oiUkWOgvtnjkr0fa3XN,Piensan,Myke Towers,81,48fPbdnqQWvarAivudCrqz,Piensan,2019-09-13,Mansión Reggaetón,37i9dQZF1DWZjqjZMudx9T,latin,reggaeton,0.677,0.722,2,-4.443,0,0.0626,0.538,0,0.11,0.786,172,173452
0jBJIQuToUUOEx7JJkiPzm,How I Move (feat. Lil Baby),Flipp Dinero,80,7EvmUXEmIRkFwd2nPVmFiP,How I Move (feat. Lil Baby),2019-11-15,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.826,0.635,5,-5.181,0,0.212,0.102,0,0.245,0.808,119.954,224916
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,86,2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090
0JQ5MbyriK6ruD3t6RZ7ix,Never Seen The Rain,Tones and I,84,2pJXQvY0YeDvVJ9gMU9G7j,The Kids Are Coming,2019-08-29,"post-teen alternative, indie, pop (large variety)",1y42gwI5cuwjBslPyQNfqb,pop,post-teen pop,0.672,0.464,6,-5.624,0,0.037,0.43,0,0.284,0.271,92.069,200742
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,82,4PgleR09JVnm3zY1fW3XBA,24K Magic,2016-11-17,Post Teen Pop,2Aud8PXoTGcyY5esHu4Aaz,pop,post-teen pop,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,206693
0kzw2tRyuL9rzipi5ntlIy,Shut Up and Dance,WALK THE MOON,82,2bVVESepVYULITlO6mtmoy,TALKING IS HARD (Expanded Edition),2014-12-02,Post pop teen,222nc9tKxKhfZ2GBrOpwH3,pop,post-teen pop,0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,199080
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,81,02sEJTj1sye1JaqxqpcSCp,Encore,2016-08-05,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-5,0.135,0.163,99.988,205947
0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,98,52u4anZbHd6UInnmHRFzba,Please Excuse Me For Being Antisocial,2019-12-06,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,82,58ufpQsJ1DS5kq4hhzQDiI,Unorthodox Jukebox,2012-12-07,Today's Hits 2000-Present,6a66cg3HcsjYkisYyQcov6,latin,latin hip hop,0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,213827
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,88,33pt9HBdGlAbRGBHQgsZsU,Evolve,2017-06-23,School Dance 2019 (Squeaky Clean),0SqaMfNsngZCpPw0UuelA7,latin,latin hip hop,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,204347
0qaWEvPkts34WF68r8Dzx9,Turn Me On (feat. Vula),Riton,86,7mtnp7B5yFt3D3PAznGzc8,Turn Me On (feat. Vula),2019-09-13,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.737,0.828,11,-4.711,1,0.0396,0.0149,5.83e-4,0.0862,0.517,124.052,208474
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),Sam Feldt,83,41S9bfzXTSGK4HU2mp5qXH,Magnets EP,2019-05-24,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,174444
0RDgqtvOHLwcI6yz9bjsZV,Perreo en La Luna,Rich Music LTD,85,1faqBAWocW4ZOe0OFjudGw,The Academy,2019-10-11,Baila Reggaeton,37i9dQZF1DWY7IeIP1cdjF,latin,reggaeton,0.711,0.757,1,-4.188,0,0.29,0.268,0,0.367,0.724,174.013,218587
0rFQ5cKYJ9WtHSKp9sxVYt,Heartless (feat. Morgan Wallen),Diplo,82,4YEes0AZtUChqtLBwaQLzh,Heartless (feat. Morgan Wallen),2019-08-16,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.764,0.555,11,-6.414,1,0.0604,0.275,0,0.0824,0.255,111.004,169227
0rIAC4PXANcKmitJfoqmVm,Motivation,Normani,83,2r6BEK0wzXbL8JHyCkeJkG,Motivation,2019-08-16,Pop / Dance,6mXh8CUBMBsBUu88a4eAQV,pop,dance pop,0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-6,0.3,0.881,170.918,193837
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,87,4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,2019-09-06,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,157560
0RLLvYBopDwooCyvnTwgYu,F.N,Lil Tjay,82,1bCBZ8LedqwVYOLDLrRbbY,True 2 Myself,2019-10-11,A1 Hip-Hop,37i9dQZF1DX0sDai2F5jCQ,rap,hip hop,0.567,0.515,6,-10.265,0,0.247,0.354,0,0.078,0.321,120.1,224000
0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),Ariana Grande,84,3zVB99XMdbP9HTVNg0GJwV,boyfriend,2019-08-02,post teen pop,3kvwJXPULhSUalL6ykJbn5,pop,post-teen pop,0.4,0.795,10,-3.731,0,0.461,0.119,0,0.159,0.702,190.097,186107
0S0vWvyZ6Rc79TXkWxT9QA,Save That Shit,Lil Peep,80,33TJ52PuwenGmysJrwMGCe,"Come Over When You're Sober, Pt. 1",2017-08-15,Sad Trap,7kzKtw5vug3IIxKfLadi8A,rap,trap,0.534,0.583,2,-8.672,1,0.0288,0.0262,0,0.421,0.145,105.997,231547
0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,98,2ZfHkwHuoAZrlz7RMj0PDz,Blinding Lights,2019-11-29,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.513,0.796,1,-4.075,1,0.0629,0.00147,2.09e-4,0.0938,0.345,171.017,201573
0t3ZvGKlmYmVsDzBJAXK8C,Goodbyes (feat. Young Thug),Post Malone,90,4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,2019-09-06,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin pop,0.548,0.653,5,-3.875,1,0.081,0.456,0,0.103,0.163,150.068,174853
0tBbt8CrmxbjRP0pueQkyU,Wolves,Selena Gomez,82,5gQZvWM1o8NkQndueJtZcP,Wolves,2017-10-25,Post pop teen,222nc9tKxKhfZ2GBrOpwH3,pop,post-teen pop,0.724,0.804,11,-4.614,0,0.0448,0.124,0,0.204,0.306,124.987,197993
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,86,3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,School Dance 2019 (Squeaky Clean),0SqaMfNsngZCpPw0UuelA7,latin,latin hip hop,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400
0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes,93,2ZaX1FdZCwchXl1QZiD4O4,Señorita,2019-06-21,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,190960
0TlLq3lA83rQOYtrqBqSct,Nonstop,Drake,82,1ATL5GLyefJaxhQzSPVrLX,Scorpion,2018-06-29,Great Pops,5SO7xYih5w8X5FEpKvU7Rt,latin,latin pop,0.912,0.412,7,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,238614
0tMSssfxAL2oV8Vri0mFHE,listen before i go,Billie Eilish,81,0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,urban CONTEMPORARY,1nFfDHtp8RY3obgen8KODl,r&b,urban contemporary,0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,242652
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,89,2sBB17RXTamvj7Ncps15AK,lovely (with Khalid),2018-04-19,PROJECT: Contemporary,6HaCi9bqaiuSZEDfCEmwyo,r&b,urban contemporary,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186
0U6bQIAh6MCGo1xjbIIx2S,Instagram,Dimitri Vegas & Like Mike,81,7FTzcNdsKhMe53orWXsai8,Instagram,2019-07-05,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.765,0.906,8,-2.097,0,0.0965,0.125,0,0.423,0.95,96.071,184558
0UQwlF2pRkr1lMN6kNNUj3,La Boca,Mau y Ricky,80,01yYW0rRRwlEZx1dMmc5ff,Para Aventuras y Curiosidades,2019-05-03,Punto Tropical,37i9dQZF1DWZ1FUX6sM67g,latin,tropical,0.618,0.795,2,-1.8,1,0.113,0.0655,0,0.309,0.76,185.901,206279
0uUNN1nSoUx1A4fkDCWDQ7,So Am I,Ava Max,83,2XvFk3xrG7dV6GhqcJSQHX,So Am I,2019-03-07,Pop Warmup 130 BPM,37i9dQZF1DX3PIAZMcbo2T,pop,dance pop,0.682,0.656,6,-4.67,1,0.0435,0.0737,0,0.353,0.607,130.089,183027
0VgkVdmE4gld66l8iyGjgx,Mask Off,Future,81,17FBoXK1NU2rvJBbzdzw0r,FUTURE,2017-06-30,ELECTROPOP🐹,44p8nNLe4fGfUeArS3MaIX,pop,electropop,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600
0vrmHPfoBadXVr2n0m1aqZ,Heaven,Avicii,80,6Ad1E9vl75ZB3Ir87zwXIJ,TIM,2019-06-06,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,277262
0wMs7DPFOnToNAoecvAFQc,Uniforme,Rich Music LTD,81,1faqBAWocW4ZOe0OFjudGw,The Academy,2019-10-11,Mansión Reggaetón,37i9dQZF1DWZjqjZMudx9T,latin,reggaeton,0.739,0.863,9,-3.667,1,0.139,0.0656,0,0.254,0.773,173.946,279280
0wXuerDYiBnERgIpbb3JBR,Redbone,Childish Gambino,81,4Carzsnpd6yvuHZ49I0oz8,"""Awaken, My Love!""",2016-12-02,Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop,0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,326933
0y675KDleCZEudjoeL1sQQ,Feelings,Lauv,81,1MFxXAGWNIuz0X1hS9VRiS,Feelings,2019-09-19,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.694,0.466,9,-6.758,1,0.0384,0.0934,0,0.098,0.246,103.018,189613
0Z26mbSHJ1dkUu7g9DDgif,Trigger,Major Lazer,80,3Fcqa5sb0vVYEEDHzkiOA1,Trigger,2019-10-24,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.57,0.585,8,-7.041,1,0.251,0.128,9.7e-5,0.111,0.378,97.285,171987
116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake),Bad Bunny,83,0p0W4RXcnc59jgatcdZozO,MIA (feat. Drake),2018-10-11,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.817,0.539,6,-6.349,0,0.0621,0.0141,4.96e-4,0.099,0.158,97.062,210368
11OwAR3GlBj9E35Cznf7Lj,Vulnerable,Selena Gomez,80,3YPFaTR7WMi1Hd4NVKdCJx,Rare,2020-01-10,Pop Hits 2020,5TDtuKDbOhrfW7C58XnriZ,r&b,hip pop,0.695,0.573,10,-8.882,1,0.167,0.132,1.37e-4,0.156,0.38,100.031,192172
14sOS5L36385FJ3OL8hew4,Happy Now,Kygo,81,6nAjd2MlBY1f1mNu6BsWLO,Happy Now,2018-10-26,Cardio,37i9dQZF1DWSJHnPb1f0X3,pop,dance pop,0.693,0.575,9,-6.998,1,0.0801,0.374,0,0.252,0.492,117.999,211362
152lZdxL1OR0ZMW6KquMif,Location,Khalid,82,6kf46HbnYCZzP6rjvQHYzg,American Teen,2017-04-27,urban CONTEMPORARY,1nFfDHtp8RY3obgen8KODl,r&b,urban contemporary,0.736,0.449,1,-11.462,0,0.425,0.33,1.62e-4,0.0898,0.326,80.126,219080
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,Eminem,82,47BiFcV59TQi2s9SkBo2pb,Recovery,2010-06-18,Pop 2009-2011,3gV6KQYZKIuoWml0094vx6,latin,latin hip hop,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373
1aUGxXCz9QimNkKeiJtzZ7,105 F Remix,KEVVO,81,2801cwQRE2bAQ6pKTrI13w,105 F Remix,2019-09-12,Urbano: Latino Vibes,0VsVywryrqLhHmsVFVcOAg,latin,latin hip hop,0.9,0.754,5,-7.016,0,0.156,0.368,2.74e-6,0.286,0.741,100.045,464200
1c0hsvHLELX6y8qymnpLKL,Soltera - Remix,Lunay,85,2m9Vuc9Q19qhSm6RQmBgsR,Soltera (Remix),2019-05-10,Todo Éxitos,2ji5tRQVfnhaX1w9FhmSzk,pop,dance pop,0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.8,92.016,266087
1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,Surfaces,81,3mMWlBGocBwsS1Q0o9wvlc,Where the Light Is,2019-01-06,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,158571
1cVlW9WQiGlFdWUXFdFZGh,Pa' Olvidarme De Ella,Piso 21,86,6NSiAkMa61CjJI9AHqOhuZ,Pa' Olvidarme De Ella,2019-09-06,Exitos 2020 - Latin Billboard,0k2IDDkcVyIpIgE6d1woDM,latin,latin pop,0.728,0.542,0,-5.195,1,0.0514,0.259,0,0.136,0.637,90.016,227234
1DFD5Fotzgn6yYXkYsKiGs,Piece Of Your Heart,MEDUZA,88,0cqRGWD3uc5Lggpducn5nD,Piece Of Your Heart,2019-02-01,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin pop,0.677,0.744,10,-6.806,0,0.0295,0.0404,1.6e-4,0.074,0.631,124.08,152913
1E1YyZjbteIz2XQyLvtRxD,Skifahren (feat. Joshi Mizu),The Cratez,81,5lUuEK82w5OlO2wo2DOWBQ,Skifahren (feat. Joshi Mizu),2019-11-15,Global X,37i9dQZF1DWUxHPh2rEiHr,latin,latin pop,0.719,0.705,5,-6.891,0,0.252,0.223,1.89e-6,0.152,0.435,133.927,162651
1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,Harry Styles,90,659e2eKbsMH0vYCs5qgFmy,Watermelon Sugar,2019-11-17,"post-teen alternative, indie, pop (large variety)",1y42gwI5cuwjBslPyQNfqb,pop,post-teen pop,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000
1Ej96GIBCTvgH7tNX1r3qr,Otro Trago,Sech,84,3TgOrQ3p23Af8zSsxK8fdX,Sueños,2019-04-19,Tusa - Karol G | China - Anuel AA | Estrenos Reggaeton y Música Urbana 2019,0T47pLnihK4xB8Bk9IQ0Dv,latin,reggaeton,0.747,0.7,0,-4.669,1,0.341,0.136,1.67e-4,0.11,0.62,176.036,225933
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,82,04G0YylSjvDQZrjOfE5jA5,We Sing. We Dance. We Steal Things.,2008-05-12,Deep-deep Bubble Pop,744VClUYfFnZCDPcOUkg5G,pop,indie poptimism,0.686,0.457,11,-8.322,1,0.0468,0.595,0,0.105,0.718,150.953,242187
1f3yAtsJtY87CTmM8RLnxf,Smells Like Teen Spirit,Nirvana,81,2uEf3r9i2bnxwJQsxQ0xQ7,Nevermind (Deluxe Edition),1991-09-26,The Sound of Permanent Wave,4EYSGTuqe9cVfSVpX4gtGv,rock,permanent wave,0.502,0.912,1,-4.556,1,0.0564,2.55e-5,1.73e-4,0.106,0.72,116.761,301920
1fCeXjoRExPP2qwSBh2aST,Black & White,Juice WRLD,81,6tkjU4Umpo79wwkgPMV3nZ,Goodbye & Good Riddance,2018-12-10,Sad Trap,7kzKtw5vug3IIxKfLadi8A,rap,trap,0.776,0.736,7,-4.612,1,0.247,0.0802,0,0.159,0.233,147.946,186945
1GBLO0NFODuL31A5fgw0uR,No Se Me Quita (feat. Ricky Martin),Maluma,82,3YIUNL7qFE8NP3X3zaYSND,11:11,2019-05-17,LATIN POP 2020 🔥 Pop latino actual,2kKzN3kRYDzBctlaWs7CP2,latin,latin pop,0.864,0.869,7,-2.963,1,0.139,0.146,0,0.063,0.853,99.988,219933
1GeNui6m825V8jP4uKiIaH,Bad Bad Bad (feat. Lil Baby),Young Thug,81,1bnHPO4dKK7IjvgrtVBcQh,So Much Fun,2019-08-16,Hip-Hop Favourites,37i9dQZF1DX48TTZL62Yht,rap,hip hop,0.974,0.596,6,-8.888,1,0.184,0.0976,0,0.151,0.892,111.959,149040
1hCTxutVVYvggAQcUUUZAT,Put A Little Love On Me,Niall Horan,80,7dUgmUMDNnQAejhNLeIQWz,Put A Little Love On Me,2019-12-06,Pop Hits 2020,5TDtuKDbOhrfW7C58XnriZ,r&b,hip pop,0.584,0.465,10,-4.88,1,0.0262,0.678,0,0.106,0.299,95.969,224586
