emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
strategic procurement sourcing mgr,2,MA,MORTGAGE,70000,Source Verified,11.64,NA,,NA,0,NA,2002,3,25,16,71122,37098,0,1,NA,0,0,5,5,10,16,0,0,1,18000,14,11,2,0,100,0,1,debt_consolidation,individual,5000,36,6.72,153.75,A,A3,Jan-2018,Current,whole,Cash,4364.17,766.88,635.83,131.05,0
marketing strategist,10,OR,MORTGAGE,155000,Verified,13.9,NA,,NA,2,3,1975,2,16,7,404526,66681,0,0,NA,0,0,3,3,3,7,NA,0,1,14400,5,3,3,2,88,0,0,debt_consolidation,individual,20000,36,11.98,664.1,B,B5,Mar-2018,Current,whole,Cash,19066.5,1301.58,933.5,368.08,0
project manager,3,CA,RENT,51000,Verified,17.25,NA,,NA,0,NA,1994,1,12,8,52441,38608,0,1,NA,0,0,2,7,6,8,0,0,4,20300,8,6,4,1,100,0,1,credit_card,individual,12000,36,15.05,416.28,C,C4,Feb-2018,Fully Paid,whole,Cash,0,12006.5250000002,12000,6.53,0
sas consultant,2,NC,RENT,130000,Not Verified,6.25,NA,,NA,0,NA,2008,1,26,16,113791,34603,0,0,NA,0,0,1,13,2,16,0,0,3,50500,23,15,8,0,100,0,0,other,individual,5000,36,7.34,155.17,A,A4,Mar-2018,Current,fractional,Cash,4623.95,463.47,376.05,87.42,0
district manager,10,CA,RENT,65000,Source Verified,9.4,NA,,NA,0,NA,2006,0,11,9,41600,19003,0,0,NA,0,0,0,2,NA,9,0,0,5,29400,11,9,8,0,100,0,0,other,individual,35000,36,11.99,1162.34,B,B5,Jan-2018,Current,fractional,Cash,30854.83,5788.39,4145.17,1643.22,0
quality control,0,PA,MORTGAGE,69000,Not Verified,15.42,NA,,NA,0,75,2003,0,37,8,291176,33890,0,0,NA,0,0,2,3,14,8,0,0,2,57700,23,5,3,2,94.3,0,0,debt_consolidation,individual,20000,36,5.31,602.21,A,A1,Mar-2018,Current,fractional,Cash,18452.04,1800.73,1547.96,252.77,0
ct tech,9,OH,OWN,60000,Not Verified,18.62,NA,,NA,0,NA,1995,1,19,9,94540,16447,0,0,NA,0,0,2,1,10,9,0,0,1,34500,16,7,3,0,100,0,0,debt_consolidation,individual,9600,36,7.35,297.96,A,A4,Jan-2018,Fully Paid,whole,Cash,0,9778.4641992096,9600,178.46,0
composite tehnician,4,CA,MORTGAGE,45000,Verified,15.44,100000,Verified,16.37,0,NA,2005,2,31,18,215675,13559,0,1,NA,0,0,2,13,9,18,0,0,5,20700,21,15,6,2,100,0,1,other,joint,8000,36,16.02,281.34,C,C5,Jan-2018,Current,fractional,Cash,7103.69,1392.46,896.31,496.15,0
administrative assistant,2,NY,RENT,46000,Not Verified,25.06,NA,,NA,0,NA,2011,0,10,6,70250,25641,0,0,NA,0,0,1,2,13,6,0,0,2,49900,5,5,2,0,100,0,0,credit_card,individual,10000,36,7.96,313.18,A,A5,Mar-2018,Current,whole,Cash,9254.54,935.12,745.46,189.66,0
warehouse manager,10,OR,MORTGAGE,65000,Verified,27.44,167196,Verified,11.05,0,NA,2003,2,12,5,405212,82052,0,0,NA,0,0,1,3,3,5,0,0,2,21000,6,3,3,3,100,0,0,debt_consolidation,joint,28000,36,17.09,999.54,D,D1,Feb-2018,Current,whole,Cash,25545.08,3971.58,2454.92,1516.66,0
quality assurance manager,10,GA,MORTGAGE,100000,Source Verified,9.14,NA,,NA,0,NA,1996,2,8,5,255039,21219,0,0,NA,0,0,1,2,5,5,0,0,2,15500,4,3,2,2,100,0,0,debt_consolidation,individual,10050,36,11.99,333.76,B,B5,Mar-2018,Current,whole,Cash,9342.95,987.89,707.05,280.84,0
agent,2,TX,MORTGAGE,12000,Not Verified,170.4,162000,Not Verified,16.07,0,NA,2004,1,22,15,225951,59098,0,0,NA,0,0,1,5,6,15,0,0,8,64600,18,13,8,3,100,0,0,credit_card,joint,40000,60,15.04,952.44,C,C4,Mar-2018,Current,whole,Cash,38629.65,2823.9,1370.35,1453.55,0
truck driver,10,PA,MORTGAGE,63215,Source Verified,33.04,114315,Source Verified,20.41,0,NA,1998,5,25,16,307750,80109,0,0,NA,0,0,5,7,4,16,0,0,6,48800,13,10,8,3,100,0,0,debt_consolidation,joint,40000,60,11.98,889.38,B,B5,Mar-2018,Current,whole,Cash,39015.01,1857.33,984.99,872.34,0
foreman,3,VA,RENT,82000,Not Verified,13.65,NA,,NA,0,NA,2010,0,14,11,70685,32562,0,0,NA,0,0,1,7,NA,11,0,0,7,39000,11,10,8,0,100,0,0,credit_card,individual,18000,36,7.97,563.81,A,A5,Jan-2018,Current,whole,Cash,16205.18,2247.27,1794.82,452.45,0
shift manager ,10,AZ,RENT,102004,Verified,14.49,NA,,NA,0,NA,2006,1,16,4,73757,47267,0,0,NA,0,0,2,4,12,4,0,0,2,9000,4,2,2,0,100,0,0,debt_consolidation,individual,32000,60,19.42,837.52,D,D3,Mar-2018,Current,whole,Cash,31355.52,1761.35,644.48,1116.87,0
sales representative ,7,CA,RENT,150000,Source Verified,1.73,NA,,NA,9,7,1998,5,23,16,18140,1416,0,1,NA,0,0,1,3,2,16,0,0,2,4500,22,15,5,0,59.1,0,1,credit_card,individual,7200,36,16.02,253.21,C,C5,Jan-2018,Current,fractional,Cash,6393.29,1290.99,806.71,484.28,0
attorney,0,PA,RENT,90500,Not Verified,25.13,NA,,NA,0,NA,2007,1,32,18,203921,194908,0,0,NA,0,0,15,4,7,18,0,0,3,12300,5,3,3,0,100,0,0,credit_card,individual,17000,36,7.35,527.64,A,A4,Jan-2018,Fully Paid,whole,Cash,0,17305.1784811037,17000,305.18,0
business analyst ,10,SC,MORTGAGE,69800,Source Verified,27.13,NA,,NA,0,NA,2001,1,38,9,141486,110102,0,0,NA,0,0,3,8,3,9,0,0,2,7100,22,6,4,2,100,0,0,debt_consolidation,individual,23175,60,11.99,515.4,B,B5,Jan-2018,Current,whole,Cash,21727.92,2561.56,1447.08,1114.48,0
estimator,1,TX,RENT,78500,Source Verified,4.75,NA,,NA,2,11,2009,3,8,4,46750,16712,0,0,11,0,150,2,0,0,4,0,0,2,23500,3,2,2,0,75,0,0,major_purchase,individual,7500,36,15.05,260.18,C,C4,Feb-2018,Current,whole,Cash,6822.92,1025.04,677.08,347.96,0
medical assistant ,4,NV,RENT,37000,Not Verified,34.11,NA,,NA,0,NA,2002,0,18,11,81748,27882,0,0,NA,0,0,4,3,14,11,0,0,3,22900,13,7,5,0,100,0,0,debt_consolidation,individual,5000,36,6.07,152.27,A,A2,Feb-2018,Current,whole,Cash,4488.22,605.71,511.78,93.93,0
social worker ,4,AL,RENT,36000,Not Verified,4.3,NA,,NA,0,44,2013,1,4,3,13500,5112,0,0,NA,0,0,0,1,5,3,0,0,3,13500,4,3,3,0,75,0,0,debt_consolidation,individual,4000,36,7.34,124.14,A,A4,Mar-2018,Current,whole,DirectPay,3699.15,370.79,300.85,69.94,0
technical engineer,5,MN,MORTGAGE,62000,Not Verified,19.78,NA,,NA,0,NA,1987,2,31,15,335500,84020,0,0,NA,0,0,0,5,5,15,NA,0,14,150500,27,14,9,4,100,0,0,debt_consolidation,individual,27900,36,16.02,981.16,C,C5,Feb-2018,Current,whole,Cash,25416.03,3874.98,2483.97,1391.01,0
project manager,3,PA,MORTGAGE,34000,Not Verified,19.67,76000,Not Verified,28.48,0,NA,2007,2,30,14,194925,18515,0,0,NA,0,0,1,7,3,14,0,0,5,62900,17,12,8,1,100,0,0,home_improvement,joint,10000,36,14.08,342.17,C,C3,Jan-2018,Current,whole,Cash,8849.12,1691.29,1150.88,540.41,0
interim dean of students,1,CO,RENT,71500,Source Verified,31.79,NA,,NA,0,NA,2003,6,33,14,177064,148500,0,0,NA,0,0,8,4,4,14,0,0,4,50000,8,6,6,0,100,0,0,credit_card,individual,20000,60,11.99,444.79,B,B5,Feb-2018,Current,whole,DirectPay,18750.49,2110.72,1249.51,861.21,0
customer success manager,0,GA,RENT,62000,Source Verified,13.55,112000,Not Verified,11.89,0,NA,2010,1,10,9,64922,31258,0,0,NA,0,0,7,0,7,9,0,0,2,20900,3,2,2,0,100,0,0,major_purchase,joint,6000,36,6.07,182.73,A,A2,Feb-2018,Current,whole,Cash,5540.54,546.17,459.46,86.71,0
rn,3,GA,MORTGAGE,65000,Source Verified,29.16,114000,Source Verified,27.5,0,NA,2002,1,39,18,287314,92796,0,0,NA,0,0,3,6,2,18,0,0,8,22200,19,14,14,3,100,0,0,debt_consolidation,joint,30000,60,28.72,947.15,F,F1,Feb-2018,Current,whole,Cash,29049.97,3740.73,950.03,2790.7,0
marketing director ,3,CO,RENT,165000,Verified,23.64,NA,,NA,0,NA,2002,4,19,6,460753,161570,0,0,NA,0,0,2,4,3,6,0,0,0,0,5,2,1,3,100,0,0,debt_consolidation,individual,40000,60,14.07,932.19,C,C3,Mar-2018,Current,whole,Cash,38594.07,2765.3,1405.93,1359.37,0
art director,0,NY,RENT,100000,Not Verified,16.94,NA,,NA,1,6,2007,1,20,9,109600,50795,0,0,NA,0,0,4,5,9,9,0,0,4,64700,8,5,4,0,100,0,0,debt_consolidation,individual,24000,36,10.91,784.71,B,B4,Jan-2018,Current,whole,Cash,21115.47,3909,2884.53,1024.47,0
product manager,3,OK,MORTGAGE,145000,Not Verified,13.49,NA,,NA,0,67,2000,1,29,12,444019,57047,0,0,NA,0,0,3,1,10,12,0,0,4,32200,14,7,6,3,96.3,0,0,major_purchase,individual,18000,36,10.91,588.54,B,B4,Jan-2018,Current,whole,Cash,15836.57,2931.79,2163.43,768.36,0
nurse aide,10,CA,RENT,45000,Not Verified,12.24,NA,,NA,0,NA,2002,2,18,9,30832,21088,0,1,NA,0,0,1,7,6,9,0,0,2,2700,12,8,5,0,100,0,1,debt_consolidation,individual,4500,36,13.59,152.91,C,C2,Jan-2018,Current,fractional,Cash,3978.59,761.15,521.41,239.74,0
western regional manager,10,WA,MORTGAGE,180000,Verified,43.62,294000,,29.52,1,9,2003,3,39,18,733755,348361,0,0,NA,0,1047,6,6,8,18,0,0,4,51300,17,11,6,3,97.4,0,0,debt_consolidation,joint,40000,60,15.04,952.44,C,C4,Mar-2018,Current,whole,DirectPay,39092.13,1838.04,907.87,930.17,0
underwriting service specialist,2,NY,RENT,42000,Verified,26.69,NA,,NA,0,NA,2011,0,17,14,45390,27333,0,0,NA,0,0,7,3,18,14,0,0,3,6800,10,7,6,0,100,0,0,debt_consolidation,individual,9000,36,6.72,276.75,A,A3,Jan-2018,Current,whole,DirectPay,7855.5,1380.39,1144.5,235.89,0
client service manager,4,WI,MORTGAGE,52000,Source Verified,10.96,NA,,NA,0,30,2002,3,17,9,22813,11246,0,0,30,0,1492,1,3,10,9,0,0,2,5100,10,8,3,0,88.2,0,0,credit_card,individual,24000,36,10.42,779.16,B,B3,Jan-2018,Current,whole,Cash,21096.21,3923.59,2903.79,1019.8,0
builder,3,IL,OWN,79992,Source Verified,16.56,NA,,NA,0,NA,2009,6,20,12,57663,43672,0,0,NA,0,0,2,7,3,12,0,0,8,11500,14,10,9,1,100,0,0,car,individual,16500,36,15.04,572.31,C,C4,Mar-2018,Current,whole,Cash,15389.67,1703.14,1110.33,592.81,0
finance manager,6,CA,RENT,168000,Verified,13.4,NA,,NA,0,34,2008,6,23,13,132274,65530,0,0,NA,0,0,3,14,3,13,0,0,5,60700,16,10,7,0,95.7,0,0,credit_card,individual,12000,36,10.91,392.36,B,B4,Jan-2018,Current,whole,DirectPay,10557.71,1947.25,1442.29,504.96,0
category coordinator,3,FL,RENT,33000,Not Verified,27.16,NA,,NA,0,NA,2012,1,10,8,41290,26298,0,0,NA,0,0,1,5,12,8,0,0,3,16500,8,7,3,0,100,0,0,credit_card,individual,10000,60,11.98,222.35,B,B5,Mar-2018,Current,whole,DirectPay,9628.77,660.39,371.23,289.16,0
analyst,7,NY,RENT,75000,Not Verified,22.45,NA,,NA,0,NA,1999,0,16,11,112473,66072,0,0,NA,0,0,4,2,NA,11,0,0,6,62900,9,7,7,0,100,0,0,credit_card,individual,9600,36,7.34,297.92,A,A4,Mar-2018,Current,whole,Cash,8878,885.93,722,163.93,0
overnight stocker,0,TX,RENT,50000,Source Verified,8.38,NA,,NA,0,NA,2012,1,14,11,37300,16232,0,0,NA,0,0,0,3,6,11,0,0,6,37300,14,11,6,0,100,0,0,credit_card,individual,20000,36,10.41,649.21,B,B3,Mar-2018,Current,whole,Cash,18560.45,1936.06,1439.55,496.51,0
composite fabricator,9,PA,MORTGAGE,86000,Verified,13.89,NA,,NA,0,65,2006,5,16,9,231279,32768,0,0,65,0,270,3,9,3,9,0,0,3,11200,7,5,3,3,87.5,0,0,home_improvement,individual,30000,60,14.08,699.3,C,C3,Feb-2018,Current,whole,Cash,28586.16,2750.27,1413.84,1336.43,0
,NA,AZ,OWN,72000,Verified,21.18,NA,,NA,0,37,2003,0,16,11,91853,73616,0,0,NA,0,0,3,3,14,11,0,0,2,9300,10,8,7,0,87.5,0,0,debt_consolidation,individual,35000,36,14.08,1197.58,C,C3,Jan-2018,Current,whole,Cash,30972.01,5732.43,4027.99,1704.44,0
engineer,5,ID,MORTGAGE,180000,Not Verified,15.41,NA,,NA,0,NA,2007,1,35,18,421680,135944,0,0,NA,0,0,10,5,6,18,0,0,4,46600,11,7,4,1,100,0,0,credit_card,individual,40000,36,5.31,1204.42,A,A1,Mar-2018,Current,whole,DirectPay,36904.08,3589.66,3095.92,493.74,0
marketing specialist,2,IN,MORTGAGE,50000,Not Verified,24.44,NA,,NA,0,NA,2006,1,40,11,305936,118341,0,0,NA,0,0,2,2,8,11,0,0,3,46800,9,8,3,1,100,0,0,credit_card,individual,15000,36,7.35,465.57,A,A4,Jan-2018,Current,whole,Cash,13108.5,2321.73,1891.5,430.23,0
,NA,AR,RENT,60000,Not Verified,16.32,NA,,NA,0,NA,1981,0,29,18,93537,21993,0,0,NA,0,0,1,3,NA,18,0,0,7,49500,26,17,9,0,100,0,0,debt_consolidation,individual,18000,36,6.08,548.25,A,A2,Jan-2018,Current,whole,Cash,15691.48,2735.17,2308.52,426.65,0
crew leader,3,FL,OWN,40000,Source Verified,3.21,NA,,NA,0,42,2012,10,20,14,13400,976,0,0,NA,0,0,0,13,1,14,0,0,3,7300,16,14,4,0,95,0,0,debt_consolidation,individual,11200,36,11.98,371.9,B,B5,Mar-2018,Current,whole,Cash,10411.92,1108.25,788.08,320.17,0
hospice nurse,1,WA,RENT,88000,Verified,39.77,NA,,NA,0,79,2007,0,31,25,152232,75596,0,0,NA,0,0,5,12,NA,25,0,0,12,45900,22,20,19,0,100,0,0,debt_consolidation,individual,16000,60,17.09,398.42,D,D1,Feb-2018,Current,whole,Cash,15303.07,1563.3,696.93,866.37,0
store manager,2,OH,MORTGAGE,43000,Source Verified,13.17,NA,,NA,0,NA,2011,2,16,11,171724,40566,0,0,NA,0,0,1,7,5,11,0,0,6,28000,13,9,6,2,100,0,0,credit_card,individual,16000,60,16.01,389.18,C,C5,Mar-2018,Current,whole,Cash,15465.8,1153.31,534.2,619.11,0
bookkeeper,5,GA,MORTGAGE,50000,Source Verified,15.41,NA,,NA,0,35,1999,0,22,11,23950,15200,0,1,72,0,0,3,4,13,11,0,0,2,3200,10,8,4,0,90.5,0,1,debt_consolidation,individual,15000,60,20,397.41,D,D4,Jan-2018,Current,whole,Cash,14237.97,1970.38,762.03,1208.35,0
certified nurse assistant ,10,VA,OWN,33600,Verified,28.04,NA,,NA,0,34,2005,2,37,9,104869,19574,0,0,49,0,0,3,7,0,9,0,0,2,8000,14,5,5,5,86.5,0,0,credit_card,individual,7500,36,14.08,256.63,C,C3,Jan-2018,Current,fractional,DirectPay,6636.82,1236.22,863.18,373.04,0
sr loan officer,7,CA,MORTGAGE,160000,Verified,12.74,NA,,NA,0,NA,1997,1,13,7,533896,80595,0,0,NA,0,0,2,5,4,7,0,0,2,13600,9,4,2,2,100,0,0,home_improvement,individual,35000,36,13.58,1189.09,C,C2,Mar-2018,Current,fractional,Cash,32593.95,3552.27,2406.05,1146.22,0
manager,1,NY,RENT,50000,Not Verified,6.02,NA,,NA,0,49,2006,0,11,8,9900,5638,0,0,49,0,0,0,6,15,8,0,0,4,4200,10,8,7,0,90.9,0,0,credit_card,individual,2000,36,14.07,68.43,C,C3,Mar-2018,Current,whole,Cash,1863.47,203.73,136.53,67.2,0
driver,5,TX,MORTGAGE,40000,Source Verified,134.53,160000,Source Verified,38.3,0,NA,1986,4,46,15,401380,185399,0,0,NA,0,0,7,9,2,15,0,0,2,21300,16,7,5,3,100,0,0,debt_consolidation,joint,40000,60,19.03,1038.29,D,D3,Jan-2018,Current,whole,Cash,37915.13,5085.73,2084.87,3000.86,0
ld teacher computer science,6,FL,RENT,56000,Source Verified,24.86,NA,,NA,1,18,2000,1,46,24,166687,194651,0,0,112,0,0,15,1,11,24,0,0,6,15400,15,9,9,0,95.6,0,0,debt_consolidation,individual,24000,60,22.9,675.2,E,E1,Mar-2018,Current,whole,DirectPay,23335.89,1995.07,664.11,1330.96,0
registered nurse,0,TX,RENT,55000,Not Verified,16.17,NA,,NA,0,NA,2007,0,19,15,59192,34100,0,0,NA,0,0,8,6,NA,15,0,0,3,7400,7,5,4,0,100,0,0,debt_consolidation,individual,10000,36,10.9,326.92,B,B4,Mar-2018,Current,fractional,Cash,9285.29,968.65,714.71,253.94,0
professor,10,MN,MORTGAGE,85000,Not Verified,9.87,NA,,NA,0,NA,2002,8,26,7,355490,39041,0,0,NA,0,0,1,8,2,7,0,0,1,29300,14,4,2,6,100,0,0,credit_card,individual,16000,60,9.92,339.33,B,B2,Mar-2018,Current,whole,Cash,15272.22,1109.17,727.78,381.39,0
,NA,MI,OWN,88000,Source Verified,13.51,NA,,NA,0,24,1991,1,64,22,286521,86344,0,0,NA,0,0,2,10,5,22,0,0,4,45100,38,19,9,1,98.4,0,0,debt_consolidation,individual,17000,60,9.44,356.54,B,B1,Feb-2018,Current,whole,Cash,16098.2,1408.33,901.8,506.53,0
specialist: hope operations,2,CA,MORTGAGE,120000,Source Verified,4.9,NA,,NA,0,48,2007,0,9,4,36459,42638,0,0,48,0,0,2,1,NA,4,0,0,1,7000,4,2,1,0,66.7,0,0,credit_card,individual,20000,36,9.93,644.69,B,B2,Jan-2018,Current,whole,Cash,17564.07,3201.38,2435.93,765.45,0
nurse practitioner,10,MI,MORTGAGE,150000,Source Verified,23.23,NA,,NA,0,NA,1993,3,48,26,756528,197380,0,0,NA,0,1643,5,14,3,26,0,0,8,44000,34,20,13,3,100,0,0,debt_consolidation,individual,15000,60,9.44,314.59,B,B1,Feb-2018,Current,whole,Cash,14204.31,1297.69,795.69,502,0
maintenance ,2,IL,RENT,38000,Not Verified,15,NA,,NA,0,NA,2006,1,9,5,25561,18074,0,1,NA,0,0,1,3,6,5,0,0,2,3200,5,4,4,0,100,0,1,medical,individual,5000,36,15.04,173.43,C,C4,Feb-2018,Current,whole,Cash,4663.53,516.11,336.47,179.64,0
project specialist ,6,OH,MORTGAGE,44500,Verified,16.02,NA,,NA,0,80,2004,2,21,10,178100,67380,0,1,80,0,0,2,6,1,10,0,0,4,4200,9,7,7,2,94.7,0,1,home_improvement,individual,15000,36,15.05,520.35,C,C4,Jan-2018,Current,fractional,Cash,13296.68,2570.4,1703.32,867.08,0
regional it security manager,1,NV,OWN,93844,Not Verified,24.54,NA,,NA,0,75,2004,3,66,20,315880,198889,0,0,77,0,722,9,5,1,20,0,0,2,1000,20,10,4,5,96.6,0,0,home_improvement,individual,16000,60,19.42,418.76,D,D3,Mar-2018,Fully Paid,whole,Cash,0,16574.135663916,16000,574.14,0
professor of english,10,CO,MORTGAGE,90000,Not Verified,8.99,115000,Not Verified,15.88,2,10,1979,3,30,14,350016,36926,0,0,NA,0,0,1,2,8,14,0,0,2,26800,24,10,4,3,86.7,0,0,debt_consolidation,joint,12000,36,6.71,368.94,A,A3,Mar-2018,Current,whole,Cash,11089.41,1102.35,910.59,191.76,0
claims rep,7,CO,MORTGAGE,92879,Not Verified,10.92,NA,,NA,0,38,2002,1,35,6,376069,66770,0,0,NA,0,0,2,3,10,6,0,0,3,13300,8,3,3,2,94.3,0,0,debt_consolidation,individual,10000,36,9.93,322.35,B,B2,Feb-2018,Current,whole,Cash,9029.64,1278.37,970.36,308.01,0
nursing shift supervisor,8,GA,MORTGAGE,102000,Source Verified,3.49,NA,,NA,1,8,2008,2,22,8,130892,13278,0,0,NA,0,0,2,5,3,8,0,0,1,2000,11,4,4,4,90.9,0,0,major_purchase,individual,20000,60,25.82,596.68,E,E4,Jan-2018,Current,whole,Cash,19131.7,2926.02,868.3,2057.72,0
,NA,WI,RENT,26000,Verified,21.14,NA,,NA,0,NA,1999,4,14,8,20700,5627,0,0,NA,0,0,3,6,3,8,0,0,1,5300,6,4,1,2,92.9,0,0,other,individual,1500,36,13.59,50.97,C,C2,Jan-2018,Current,whole,Cash,1126.71,440.79,373.29,67.5,0
waitress,10,LA,OWN,28000,Not Verified,19.76,NA,,NA,0,NA,2000,1,18,11,27800,5833,0,0,NA,0,111,1,3,4,11,0,0,6,15800,16,10,10,0,100,0,0,other,individual,6000,36,7.34,186.2,A,A4,Mar-2018,Current,whole,Cash,5548.75,556.15,451.25,104.9,0
human resources specialist,10,MD,MORTGAGE,106000,Verified,8.23,NA,,NA,0,73,2006,3,38,24,425809,18935,0,0,73,0,61,0,14,8,24,0,0,5,12300,31,23,19,1,97.4,0,0,debt_consolidation,individual,12000,60,25.82,358.01,E,E4,Feb-2018,Current,whole,Cash,11587.69,1439.92,412.31,1027.61,0
operations,0,NH,MORTGAGE,150000,Source Verified,6.26,NA,,NA,0,NA,2004,12,58,31,388580,33134,0,0,NA,0,0,8,4,1,31,0,0,2,21700,27,21,8,1,100,0,0,house,individual,40000,36,6.07,1218.15,A,A2,Mar-2018,Current,fractional,Cash,37963.23,2409.32,2036.77,372.55,0
production supervisor,10,MA,MORTGAGE,93000,Source Verified,9.89,NA,,NA,1,23,2006,2,14,12,299226,19802,0,0,NA,0,193,1,7,2,12,0,0,6,27100,10,10,7,1,78.6,0,0,debt_consolidation,individual,16000,36,11.99,531.36,B,B5,Jan-2018,Current,fractional,Cash,14105.04,2646.14,1894.96,751.18,0
,NA,CA,RENT,7800,Not Verified,32,27400,Not Verified,21.99,0,NA,2012,2,7,6,9600,6106,0,1,NA,0,0,0,1,2,6,0,0,2,6600,6,6,3,0,100,0,1,credit_card,joint,10000,36,16.02,351.67,C,C5,Jan-2018,Current,whole,Cash,9109.69,1437.83,890.31,547.52,0
