w1_hid,w1_pid,sex,age,slequal_OT,SDweek_OT,lfsat_OT,wstress_OT,happy_OT,health_OT,wellbe_OT,wave,educ_kat,estat,deti5_OT,hincome_6,jetlag_OT
100008324,10000832401,2,48,4,7.916666666666667,8,0,8,2,5.666666666666667,3,2,0,0,4,2
100005991,10000599101,2,29,4,6.428571428571428,8,0,9,3,6,3,2,5,1,5,1.75
100007239,10000723904,1,17,4,8.369047619047619,9,NA,8,4,4.666666666666667,3,1,3,0,6,2.0833332538604736
100007484,10000748402,1,52,3,6.095238095238095,2,0,8,3,4,3,2,0,0,4,0.75
100005771,10000577103,2,21,3,7.547619047619048,9,1,8,3,4.333333333333333,3,2,0,0,5,1.6666666269302368
100008425,10000842501,1,62,3,9,5,NA,8,3,4.666666666666667,3,1,4,0,2,0.5
100006829,10000682901,2,64,3,6.45,8,0,8,2,4.333333333333333,3,2,4,0,3,0
100009347,10000934701,1,60,1,4.333333333333333,8,NA,8,1,4.333333333333333,3,2,4,0,2,0.75
100005545,10000554502,2,33,3,6.833333333333333,9,NA,9,4,5,3,3,5,2,6,0
100007282,10000728201,2,67,3,9,6,NA,7,1,4.666666666666667,3,1,4,0,2,0
100008985,10000898502,2,29,3,8.261904761904761,7,0.3333333333333333,6,3,3.3333333333333335,3,3,0,0,6,1.75
100003157,10000315701,2,35,4,7.761904761904762,7,0.3333333333333333,7,4,4.666666666666667,3,3,0,1,5,1.5416666269302368
100006243,10000624302,1,34,3,6.928571428571428,8,0.3333333333333333,8,5,5,3,2,0,0,6,1.25
100001974,10000197402,1,42,2,5.857142857142858,5,0,5,3,3,3,2,0,0,6,0.875
100007313,10000731302,2,46,3,5.928571428571428,5,NA,6,4,4,3,2,0,0,4,1.75
100003411,10000341101,2,56,3,10.785714285714285,9,0,6,3,3.6666666666666665,3,1,0,0,6,0.75
100008969,10000896902,2,28,2,7.678571428571428,8,0,9,5,4,3,3,5,1,4,0.375
100007496,10000749602,1,74,3,7.833333333333333,7,NA,7,2,4.333333333333333,3,2,4,0,1,0
100007182,10000718202,1,28,3,6.5,8,NA,7,3,3,3,1,2,0,4,1.75
100005652,10000565201,1,63,3,7.5,10,NA,8,3,3.3333333333333335,3,2,4,0,3,0.75
100007427,10000742701,2,56,3,6,8,0,6,4,3.6666666666666665,3,3,0,0,3,1
100001864,10000186401,2,59,2,8.142857142857142,8,NA,8,3,4.666666666666667,3,1,4,0,3,0.25
100002986,10000298601,1,46,4,8.880952380952381,10,0,NA,4,5.333333333333333,3,2,1,0,3,0.0833333358168602
100009519,10000951901,1,51,1,4.392857142857143,2,0.3333333333333333,7,1,3,3,3,0,0,6,1.125
100004318,10000431802,2,36,2,8.285714285714285,7,0,7,3,4,3,3,0,0,6,1.5
100003295,10000329501,1,72,2,9.25,8,NA,8,2,3.3333333333333335,3,1,4,0,4,0.5
100007338,10000733802,1,38,3,7,8,NA,8,3,4.333333333333333,3,2,0,0,3,0
100005843,10000584301,1,63,3,8.714285714285714,8,0,7,5,4,3,2,4,0,1,0.0833333358168602
100009137,10000913702,1,34,3,8.095238095238095,8,0,8,3,6,3,3,1,1,5,0.5
100004959,10000495904,2,34,3,6.785714285714286,7,0.6666666666666666,6,2,2.6666666666666665,3,1,0,0,5,1.5
100008224,10000822402,2,32,3,7.2857142857142865,8,0.3333333333333333,8,4,4,3,3,0,1,6,1.5
100008664,10000866401,1,52,3,6.452380952380952,7,0.3333333333333333,7,3,4,3,2,0,0,5,1.9166666269302368
100006737,10000673701,2,39,3,6.952380952380953,4,0,7,3,3.3333333333333335,3,2,0,0,3,1.6166666746139526
100003385,10000338501,1,60,3,7.25,7,0.3333333333333333,7,3,3.6666666666666665,3,2,1,0,3,0
100003332,10000333204,1,17,1,7.523809523809524,9,1,9,5,5.333333333333333,3,1,0,0,6,2.4166667461395264
100007836,10000783601,2,36,4,9.261904761904761,9,0,9,4,5,3,2,0,0,3,3.5
100007499,10000749901,1,82,3,7.5,9,NA,7,2,4.333333333333333,3,2,4,0,3,0.25
100007212,10000721201,1,68,3,8.5,8,0,10,4,6,3,1,4,0,3,0.375
100007498,10000749802,2,51,3,6.8571428571428585,9,0,8,2,5.333333333333333,3,2,0,0,3,1.375
100007867,10000786701,2,33,3,6.571428571428572,9,0,9,3,3.6666666666666665,3,1,0,1,NA,1.6666666269302368
100005314,10000531401,2,46,3,7.571428571428571,4,0.3333333333333333,8,3,3.6666666666666665,3,3,0,0,4,1.5
100001567,10000156702,1,40,3,7.6309523809523805,9,0.3333333333333333,9,4,2.3333333333333335,3,2,1,0,6,1.899999976158142
100007188,10000718802,1,18,3,8.321428571428571,5,0,7,4,5,3,1,NA,0,2,3.25
100007721,10000772102,1,23,2,9,7,0.3333333333333333,4,4,2.6666666666666665,3,2,0,0,3,0.75
100007511,10000751102,1,67,4,5,8,NA,10,5,5,3,2,4,0,3,1.5
100004811,10000481101,2,56,3,6.5,7,NA,9,2,3.6666666666666665,3,1,0,0,5,0
100003218,10000321801,1,41,1,7.142857142857142,8,0,8,3,4.666666666666667,3,2,0,0,5,0.75
100001875,10000187501,1,64,3,8.416666666666666,8,NA,9,2,4,3,2,4,0,1,0
100005648,10000564803,2,45,3,7.25,9,0,9,4,4,3,2,0,0,6,0.875
100008225,10000822502,2,65,3,7.75,8,NA,8,2,4,3,2,4,0,1,0
100008935,10000893501,2,46,3,5.285714285714286,8,0,8,3,4,3,2,0,0,2,2
100004294,10000429402,2,45,3,7.25,8,0.3333333333333333,8,3,4.666666666666667,3,2,0,0,6,1.875
100003398,10000339803,1,16,4,7.7857142857142865,8,0,8,5,5,3,1,3,0,4,0.5
100007543,10000754301,1,56,3,6.357142857142858,8,0,8,3,4.333333333333333,3,2,0,0,3,1.375
100007858,10000785803,2,17,3,9.285714285714285,9,NA,10,4,4.666666666666667,3,1,3,0,2,1.5
100005771,10000577101,2,56,2,7.107142857142858,5,0.6666666666666666,5,3,2.3333333333333335,3,2,0,0,5,1.375
100004574,10000457403,2,80,2,8.5,3,NA,2,1,2.3333333333333335,3,1,4,0,NA,0
100002637,10000263701,1,55,2,11.261904761904763,5,0.6666666666666666,5,2,2,3,1,0,0,5,3.5833332538604736
100006985,10000698502,1,39,3,6.416666666666667,8,0.3333333333333333,6,3,3.3333333333333335,3,2,0,0,3,0.7083333134651184
100008937,10000893702,1,40,3,7.7857142857142865,10,0.6666666666666666,10,4,4.666666666666667,3,3,0,0,6,1.0833333730697632
100008374,10000837402,2,36,3,7.678571428571428,6,0,6,4,2.6666666666666665,3,1,0,0,3,1.125
100005668,10000566801,1,66,3,7.023809523809524,7,NA,10,2,4.333333333333333,3,1,4,0,2,0.0833333358168602
100004728,10000472801,1,46,3,6.571428571428572,1,0.6666666666666666,4,3,3,3,3,0,0,3,2
100003279,10000327902,2,43,3,8.261904761904761,8,0,8,3,4,3,1,0,0,3,1.3333333730697632
100007824,10000782401,1,44,3,7.690476190476192,8,0,8,3,4,3,1,0,0,5,0.8333333134651184
100007522,10000752201,2,37,4,6.357142857142858,8,0,9,4,4.333333333333333,3,2,NA,0,5,0.25
100002953,10000295301,1,37,4,6.321428571428572,8,0.3333333333333333,7,5,4,3,2,1,0,5,0.125
100005733,10000573301,1,61,2,8.5,8,NA,7,3,4.333333333333333,3,2,4,0,3,0
100004324,10000432403,2,15,2,7.523809523809524,1,NA,1,2,2,3,NA,3,0,5,2
100001779,10000177902,2,57,3,6.785714285714286,7,NA,5,4,4,3,1,0,0,NA,0.5
100001511,10000151101,2,40,3,7.869047619047619,9,0,8,3,4.333333333333333,3,3,0,0,6,0.8916666507720947
100001932,10000193201,2,37,3,7.25,5,0.3333333333333333,9,3,5,3,1,0,0,1,1.3333333730697632
100002757,10000275701,2,42,3,7.535714285714286,7,0,5,5,5,3,1,1,0,NA,0.625
100006675,10000667501,2,28,2,9,9,NA,9,4,4.666666666666667,3,3,5,2,6,0
100007759,10000775901,2,40,4,8,9,0,8,NA,NA,3,3,0,0,6,1.5
100007518,10000751802,1,49,3,4.714285714285714,3,0.3333333333333333,5,2,4.333333333333333,3,1,0,0,3,2.6666667461395264
100009473,10000947301,1,29,2,6.6428571428571415,8,0.6666666666666666,8,4,4.333333333333333,3,2,0,1,4,0.25
100008555,10000855502,2,78,2,7.75,9,NA,8,2,3,3,3,4,0,2,0
100007853,10000785301,2,43,2,7.3928571428571415,7,0.3333333333333333,7,2,2.6666666666666665,3,1,0,0,1,0.75
100001342,10000134201,2,35,4,6.309523809523808,8,0,8,4,3.3333333333333335,3,3,0,0,3,0.8333333134651184
100005322,10000532201,2,81,3,8,8,NA,8,2,4.666666666666667,3,2,4,0,1,0
100007387,10000738702,2,33,4,7.7857142857142865,9,0,9,4,5,3,2,0,1,5,2.5
100007468,10000746801,2,35,3,7.238095238095238,9,0,9,4,4.333333333333333,3,2,0,0,4,0.875
100003754,10000375402,1,35,2,9.75,7,0.6666666666666666,8,4,5,3,1,0,2,5,0.375
100004372,10000437201,2,30,4,6.8571428571428585,8,0.3333333333333333,7,3,3.6666666666666665,3,1,2,1,2,4.166666507720947
100004429,10000442902,2,34,3,7.5,10,0,10,3,5.666666666666667,3,1,5,1,1,1.5
100004383,10000438301,2,70,4,8.75,6,NA,7,3,4.666666666666667,3,1,4,0,1,0.5416666865348816
100001835,10000183502,1,44,3,6.833333333333333,8,0,8,4,4.333333333333333,3,1,0,0,5,0
100008817,10000881702,2,43,3,12,6,NA,4,2,4,3,1,4,0,1,0.5
100007523,10000752301,2,84,2,9,4,NA,5,2,2.6666666666666665,3,2,4,0,3,0
100002635,10000263504,1,17,4,9.595238095238093,9,NA,8,5,6,3,1,3,0,NA,0.3333333432674408
100007764,10000776402,1,67,3,7.833333333333333,8,NA,8,2,5,3,3,4,0,2,0
100001411,10000141101,2,38,3,8.178571428571429,7,0,7,3,3.3333333333333335,3,2,0,0,6,2.1666667461395264
100007233,10000723303,2,15,2,8.25,8,NA,5,3,3.6666666666666665,3,1,3,0,4,4.875
100001894,10000189401,1,54,3,7,8,0,8,5,5,3,3,1,0,NA,0
100005881,10000588101,1,37,3,6.333333333333333,7,0,8,4,4,3,2,1,0,4,0
100002635,10000263501,1,47,4,7.166666666666667,9,0,9,4,4.333333333333333,3,3,0,0,NA,1.5833333730697632
100006372,10000637203,1,15,4,10.928571428571429,8,0,6,4,3.6666666666666665,3,NA,3,0,3,1.25
100008543,10000854302,2,63,3,7.5,7,NA,8,3,4,3,1,4,0,4,0.5
100006219,10000621903,2,18,4,8.535714285714286,10,0,10,5,5,3,1,3,0,6,0.5
100002465,10000246503,2,25,3,6.75,9,0.3333333333333333,9,4,5,3,3,0,0,NA,1.875
100004852,10000485205,1,19,3,6.833333333333333,2,0,7,4,3.3333333333333335,3,2,0,0,4,2.7083332538604736
100008153,10000815302,1,42,2,8.214285714285715,9,0.3333333333333333,8,4,3.6666666666666665,3,3,0,1,5,1
100001779,10000177901,1,56,4,7.190476190476192,9,0,8,4,4.666666666666667,3,2,0,0,NA,2.25
100006382,10000638201,1,60,3,5.333333333333333,9,NA,9,2,5,3,1,0,0,5,0
100002226,10000222601,1,45,3,8.321428571428571,7,0.6666666666666666,7,4,4.666666666666667,3,2,1,1,6,0
100007387,10000738701,1,37,3,6.571428571428572,7,0.3333333333333333,8,4,4,3,1,0,1,5,2
100007843,10000784301,1,52,3,7.6071428571428585,8,0.3333333333333333,8,4,3,3,2,0,0,6,1.875
100007521,10000752103,1,17,3,6.714285714285714,8,0.3333333333333333,8,3,6,3,1,NA,0,4,2.5
100003785,10000378501,2,52,3,6,8,0.6666666666666666,9,3,5,3,1,0,0,4,0
100001879,10000187901,2,38,3,8.035714285714286,8,0.3333333333333333,6,5,3.3333333333333335,3,3,0,1,2,1.5
100007639,10000763902,1,67,3,7.75,7,0,7,3,3.6666666666666665,3,2,4,0,3,0.25
100006121,10000612102,2,43,3,6.928571428571428,5,0,5,3,2.6666666666666665,3,3,0,0,6,0.75
100004384,10000438402,1,41,3,7.761904761904762,7,0.3333333333333333,6,3,4,3,1,0,2,4,2.0833332538604736
100006227,10000622701,2,52,4,7.5,9,0.3333333333333333,7,2,5,3,2,1,0,6,0
100007147,10000714701,1,35,4,7.571428571428571,9,0,9,5,5.333333333333333,3,2,1,1,4,0.75
100001685,10000168502,1,39,4,6.75,10,0.3333333333333333,10,3,5.333333333333333,3,2,1,0,NA,0
100006379,10000637901,2,43,4,7.238095238095238,9,0.3333333333333333,9,4,4,3,3,1,0,6,0.8333333134651184
100003128,10000312801,1,49,4,7.178571428571428,6,0.3333333333333333,7,5,4.333333333333333,3,3,0,0,6,1.1666666269302368
100006381,10000638101,2,53,3,6.5,9,NA,8,1,3.3333333333333335,3,1,4,0,2,0
100008512,10000851203,1,31,4,9,8,0,6,2,2,3,1,0,1,6,0.5
100005626,10000562601,1,82,3,6,7,NA,7,2,3,3,3,4,0,1,0
100002871,10000287101,2,42,3,7.464285714285714,7,0,7,3,4,3,2,0,0,6,2.5
100007342,10000734201,2,41,4,8.33095238095238,6,0.3333333333333333,7,3,3,3,2,0,0,6,0.5833333134651184
100007342,10000734203,1,43,2,6.8571428571428585,8,0.6666666666666666,6,2,3,3,2,1,0,6,1.25
100008368,10000836801,1,68,2,6,5,NA,5,1,3,3,1,4,0,1,0
100003422,10000342202,2,51,3,7.428571428571429,8,0,8,4,5,3,3,1,0,6,0.75
100002519,10000251901,2,39,4,6.983333333333333,8,0,8,4,5,3,2,0,0,6,3
100004422,10000442201,2,22,3,7.3690476190476195,9,0,7,5,4.333333333333333,3,2,0,0,5,1.5416666269302368
100006771,10000677102,2,71,2,8.142857142857142,NA,NA,8,2,3.6666666666666665,3,1,4,0,2,0.5
100008382,10000838201,2,57,3,7.357142857142858,6,0,5,3,3.3333333333333335,3,1,0,0,1,0.875
100002938,10000293801,1,67,4,6,7,NA,7,3,4,3,1,4,0,2,0.25
100006356,10000635602,1,41,3,7.023809523809524,8,0,9,4,5,3,1,0,0,4,1.8333333730697632
100006478,10000647801,2,37,3,7,8,NA,8,4,4.666666666666667,3,2,5,2,5,0
100001316,10000131602,1,67,3,6.821428571428571,8,0.3333333333333333,7,3,4.666666666666667,3,3,0,1,5,1.375
100002215,10000221504,1,28,4,7.571428571428571,7,0.6666666666666666,7,4,3,3,3,NA,0,6,0.875
100007446,10000744601,1,46,3,6.773809523809524,8,0,7,2,4,3,3,0,0,6,1.875
100008628,10000862801,1,55,3,8.214285714285715,7,0.3333333333333333,7,2,4,3,1,0,0,6,1.75
100005989,10000598901,2,67,3,6.5,6,NA,6,3,4,3,3,4,0,3,0
100003129,10000312902,1,74,3,8.333333333333334,8,NA,8,2,4.333333333333333,3,1,4,0,2,0.6666666865348816
100009367,10000936701,2,58,2,8.5,6,NA,6,2,3.6666666666666665,3,3,0,0,6,0
100001427,10000142701,1,36,3,7.309523809523808,9,0.3333333333333333,9,3,5,3,3,0,0,6,0.8333333134651184
100001129,10000112901,2,51,3,5.761904761904762,5,0.3333333333333333,5,3,2,3,2,1,0,5,1.8333333730697632
100002799,10000279904,2,18,4,7.190476190476192,9,0,9,5,5.333333333333333,3,1,3,0,5,0.5416666865348816
100005773,10000577301,2,59,1,4.333333333333333,5,NA,7,1,4,3,3,4,0,2,1.3333333730697632
100001629,10000162901,1,56,3,7.357142857142858,7,0,7,3,4,3,1,1,0,NA,0.5
100006298,10000629804,2,27,3,7.464285714285714,10,0,9,4,4.666666666666667,3,2,0,2,6,2.125
100002225,10000222501,1,67,3,6.142857142857142,10,NA,9,4,5,3,1,1,0,NA,0.25
100006167,10000616701,1,86,3,9,6,NA,7,3,5,3,2,4,0,1,0
100007618,10000761801,2,33,2,8.416666666666666,8,NA,8,5,5,3,3,5,2,5,0
100003628,10000362802,2,43,2,9,7,0.3333333333333333,8,3,4,3,1,0,0,3,1
100006281,10000628101,1,74,3,6.5,8,NA,6,3,4.333333333333333,3,3,4,0,2,0
100008365,10000836502,1,17,3,8.571428571428571,7,0,10,3,4.333333333333333,3,1,3,0,3,1
100003744,10000374401,2,69,3,7.535714285714286,7,NA,7,2,4,3,2,4,0,4,0.75
100009386,10000938602,1,40,4,7.3928571428571415,8,0.3333333333333333,9,4,2.3333333333333335,3,3,0,1,5,1.125
100001891,10000189102,1,22,3,7,8,0.6666666666666666,8,5,4,3,2,3,0,NA,0.5
100008516,10000851601,1,58,4,7.983333333333333,9,0,9,3,5,3,1,0,0,2,0
100009311,10000931102,1,33,3,5.428571428571428,8,0,2,4,4.666666666666667,3,2,0,0,4,3.25
100008623,10000862301,2,61,3,7.166666666666667,3,0.3333333333333333,3,3,4,3,1,0,0,2,4.083333492279053
100009168,10000916802,1,60,3,7.523809523809524,7,0.3333333333333333,8,1,4.666666666666667,3,3,1,0,6,0.3333333432674408
100004559,10000455901,2,32,4,6.690476190476191,NA,0,9,NA,NA,3,2,0,1,NA,1.1666666269302368
100002839,10000283902,1,59,2,7.428571428571429,8,0.3333333333333333,7,1,4,3,2,0,0,3,1.25
100007357,10000735701,2,39,3,7.25,9,0,8,3,4.666666666666667,3,1,5,1,4,2.25
100009342,10000934201,2,57,2,5.297619047619048,8,0,8,3,4.666666666666667,3,1,0,0,4,2.5416667461395264
100006829,10000682902,1,60,3,9.130952380952381,6,0,8,2,3.3333333333333335,3,1,0,0,3,1.25
100009177,10000917701,1,50,4,5.142857142857142,8,0,7,3,4,3,1,0,0,5,2
100007844,10000784401,2,58,4,7.357142857142858,9,0,9,5,5,3,2,0,0,6,1.5
100004265,10000426501,2,38,3,7.5,8,0,8,3,5,3,3,0,1,6,1.5
100007643,10000764301,1,30,3,6.571428571428572,8,0.3333333333333333,8,4,3.3333333333333335,3,2,0,0,2,0
100004915,10000491503,1,27,3,7.2857142857142865,8,0,3,5,6,3,1,1,0,6,2.5
100008442,10000844201,1,63,3,6.916666666666666,8,NA,5,2,5.333333333333333,3,3,4,0,1,0
100004568,10000456801,2,70,3,7.904761904761904,8,0,8,3,4.333333333333333,3,2,4,0,5,0.5833333134651184
100005735,10000573501,2,61,3,7.428571428571429,8,0,8,3,4.666666666666667,3,3,0,0,5,2.25
100007359,10000735902,1,67,3,9,9,NA,7,2,2.3333333333333335,3,1,4,0,2,1.125
100007361,10000736101,1,49,4,7,8,0,8,3,5,3,1,0,0,3,2.25
100005936,10000593601,1,32,4,7.159523809523809,9,0,9,5,5,3,3,0,2,4,1.9416667222976685
100007966,10000796602,1,45,1,9.428571428571429,5,0.3333333333333333,6,4,3,3,2,0,0,6,0.75
100006923,10000692303,2,17,3,9.5,5,0,5,3,4,3,1,0,0,4,2
100009358,10000935802,1,20,2,7.928571428571428,9,0,8,4,4,3,2,0,0,2,1.625
100008526,10000852601,1,33,3,7.357142857142858,9,0.3333333333333333,8,4,5,3,2,0,2,3,0.75
100006696,10000669601,2,68,3,6.714285714285714,8,0,9,2,4.333333333333333,3,1,4,0,1,1.25
100006234,10000623402,2,82,2,9,9,NA,7,1,3.6666666666666665,3,1,4,0,2,0.125
100009528,10000952802,1,48,2,5.7142857142857135,7,0.6666666666666666,6,3,3.6666666666666665,3,2,0,0,6,1.5833333730697632
100005384,10000538401,2,40,4,7.738095238095238,9,0,9,4,4,3,2,0,1,6,2.616666555404663
100007741,10000774102,2,52,3,7.6071428571428585,9,0,9,3,4.666666666666667,3,1,0,0,3,1.875
100008156,10000815602,2,74,3,8.5,NA,NA,9,3,3,3,2,4,0,1,0
100005456,10000545602,2,84,3,8.75,8,NA,9,3,4.333333333333333,3,1,4,0,2,0.875
100009431,10000943101,2,68,2,7,8,NA,7,1,3,3,2,4,0,2,0.1666666716337204
100001234,10000123402,2,27,3,6.714285714285714,8,0.3333333333333333,7,5,4,3,3,5,1,5,0.25
100001421,10000142101,1,28,3,7.7857142857142865,9,0.3333333333333333,9,4,4.666666666666667,3,3,0,0,6,0.5
100006756,10000675602,1,70,3,7.5,8,NA,5,2,3.3333333333333335,3,2,4,0,3,0.75
100004565,10000456501,1,57,2,8,6,NA,6,1,3,3,1,0,0,3,0
100001448,10000144804,2,19,3,8.321428571428571,9,NA,9,5,5.333333333333333,3,2,3,0,6,1.875
100006476,10000647602,1,26,3,7.661904761904761,10,0,10,4,4.666666666666667,3,1,0,0,6,1.1583333015441895
100001781,10000178102,1,27,4,7.952380952380952,8,0,8,5,4.666666666666667,3,2,0,1,3,1.5833333730697632
100006124,10000612401,2,54,3,7.857142857142858,7,0,8,3,3.6666666666666665,3,2,2,0,1,0.25
100007945,10000794501,2,49,3,8.142857142857142,8,0.3333333333333333,8,4,5,3,3,0,0,6,0.75
100007443,10000744301,1,53,3,7.059523809523808,8,0,5,2,3.6666666666666665,3,2,0,0,5,1.8333333730697632
100007385,10000738501,2,65,2,8.142857142857142,5,0.3333333333333333,4,2,1.6666666666666667,3,3,4,0,4,0.5
100009261,10000926101,2,48,3,6.571428571428572,5,0.3333333333333333,7,3,2.6666666666666665,3,1,0,0,5,1.5
100007353,10000735302,1,56,4,7.2142857142857135,9,0.6666666666666666,9,3,5,3,1,0,0,3,1.75
100006672,10000667204,2,15,3,8.904761904761905,5,0.6666666666666666,4,3,3,3,1,3,0,5,3.1666667461395264
100003446,10000344601,2,33,2,6.5,8,0,8,4,5,3,3,5,2,NA,0.25
100001334,10000133402,2,51,3,6.714285714285714,7,0.3333333333333333,8,4,4.333333333333333,3,2,0,0,6,0.25
100001165,10000116501,2,50,4,6.238095238095238,8,0.3333333333333333,8,5,4.666666666666667,3,3,1,0,4,0.125
100008952,10000895202,1,77,3,7.7142857142857135,8,NA,7,3,2.6666666666666665,3,1,4,0,6,0.5
100003283,10000328303,2,23,4,7.892857142857142,10,0,9,5,5.333333333333333,3,2,0,0,5,2.25
100008365,10000836501,2,37,3,6.4642857142857135,8,0,8,4,5.333333333333333,3,1,0,0,3,3.75
100006172,10000617202,2,58,3,9,6,NA,6,2,3,3,2,0,0,3,0
100004365,10000436501,1,67,3,6.25,8,NA,8,2,4,3,2,4,0,2,0
100006731,10000673101,1,48,4,6.2142857142857135,9,0,9,3,5.666666666666667,3,3,0,0,5,0.5
100006442,10000644201,2,70,3,6,4,NA,5,1,1.6666666666666667,3,2,4,0,1,0
100005459,10000545903,1,28,3,7.666666666666666,8,0.3333333333333333,7,3,4,3,1,0,0,5,0.2916666567325592
100007781,10000778102,1,66,3,8.714285714285714,8,0,8,3,3.3333333333333335,3,3,4,0,3,0.75
100006658,10000665801,1,69,4,9,10,NA,10,2,4.666666666666667,3,3,4,0,3,0
100007298,10000729804,2,16,3,7.969047619047619,10,NA,9,3,4.333333333333333,3,1,3,0,5,0.4833333194255829
100004957,10000495701,2,42,3,6.9642857142857135,8,0.3333333333333333,8,4,4.333333333333333,3,2,0,0,2,1.0833333730697632
100005217,10000521701,2,43,3,6.761904761904762,9,0,8,3,3.6666666666666665,3,3,0,0,3,1.1666666269302368
100001851,10000185101,1,42,4,6.678571428571429,2,0,8,4,4.666666666666667,3,1,0,0,5,1.25
100009183,10000918301,1,55,3,7,9,0,9,3,4.333333333333333,3,3,0,0,6,0.75
100007391,10000739102,1,58,3,10.071428571428571,5,NA,5,2,3.6666666666666665,3,1,0,0,3,1.25
100005431,10000543101,2,34,2,7.2857142857142865,8,0.6666666666666666,3,3,2.3333333333333335,3,2,0,1,3,1.5
100008731,10000873101,1,38,3,6.321428571428572,8,0.6666666666666666,9,4,4.333333333333333,3,2,0,0,3,0.125
100004714,10000471401,1,57,4,7.7857142857142865,7,0.3333333333333333,7,2,3.6666666666666665,3,2,0,0,2,0
100004688,10000468801,2,69,3,9.5,NA,NA,7,2,3,3,2,4,0,2,0
100001964,10000196401,1,66,4,8,8,NA,10,3,6,3,1,4,0,1,0
100008663,10000866301,1,68,3,7.5,8,NA,8,3,5,3,2,4,0,1,0
100006557,10000655701,1,66,3,10,6,NA,7,2,4,3,1,4,0,2,0.25
100007389,10000738901,1,62,3,7.25,10,NA,10,2,5,3,1,4,0,1,0
100006819,10000681901,2,41,2,8,8,NA,8,4,3.3333333333333335,3,2,5,1,3,0.25
100005141,10000514104,2,15,3,7.357142857142858,8,NA,8,5,4.666666666666667,3,1,3,0,5,1.25
100007389,10000738902,2,63,2,8.25,5,NA,10,2,2.6666666666666665,3,1,4,0,1,0.5
100005317,10000531703,1,21,4,8.38095238095238,6,0,8,4,5,3,2,3,0,4,0.0833333358168602
